Date,NumberSpeedAnomaly,NumberTemperatureAnomaly,NumberDoorsAnomaly,NumberCatastrophicAnomaly,TotalRecordsAnomaly,NoRecordAnomaly,ID,Datetime,Time,TimeMinutes,Hour,Minute,Latitude,Longitude,Speed,Temperature,Light,SpeedAnomaly,TemperatureAnomaly,DoorsAnomaly,CatastrophicAnomaly,AnyAnomaly,MultipleAnomalies
2023-01-01,0.0,0.0,0.0,0.0,False,False,xrlYlV1Pcv_vO_8n4JPyi,2023-01-01 14:00:00,14:00:00,840.0,14.0,0.0,12.67214,108.06884,0.0,5.5,200.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,dkA2V7_H1L-ZewTbeJbQP,2023-01-01 14:13:30,14:13:30,853.0,14.0,13.0,12.65841,108.03907,54.95,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,sfUc0dftAes27cZZ4112_,2023-01-01 14:27:00,14:27:00,867.0,14.0,27.0,12.61997,107.95092,47.81,2.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,KLECMdIVRtZ6Yqs2lgWsN,2023-01-01 14:40:30,14:40:30,880.0,14.0,40.0,12.58494,107.87112,60.87,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,ZMiTvOwYlM3bNEgkVy47p,2023-01-01 14:54:00,14:54:00,894.0,14.0,54.0,12.54409,107.79773,43.06,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,i_dFhJqN6kteF-gS-oimW,2023-01-01 15:07:30,15:07:30,907.0,15.0,7.0,12.49071,107.72369,36.04,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,w0ZVqhLWLlRAE0ULyhP9J,2023-01-01 15:21:00,15:21:00,921.0,15.0,21.0,12.44303,107.63683,55.27,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,GS7CeGYLFFEPqNQWlgNd2,2023-01-01 15:34:30,15:34:30,934.0,15.0,34.0,12.35217,107.56946,61.54,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,4z3TzKlTO8fOKla9efmZp,2023-01-01 15:48:00,15:48:00,948.0,15.0,48.0,12.28166,107.45917,33.49,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,-7vSXpawIzmcZx2V_0G0G,2023-01-01 16:01:30,16:01:30,961.0,16.0,1.0,12.20514,107.45171,29.67,4.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,K8-_csF06HJ4gsTPtNGoZ,2023-01-01 16:15:00,16:15:00,975.0,16.0,15.0,12.1149,107.47546,66.88,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,EaLog-C5Z4sEGLNRSRYBs,2023-01-01 16:28:30,16:28:30,988.0,16.0,28.0,12.02528,107.49632,63.58,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,dMUQybvVN2LERoT84FoPa,2023-01-01 16:42:00,16:42:00,1002.0,16.0,42.0,11.94746,107.46003,20.74,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,Fvn2V7vTmyCkLH7XqPzfi,2023-01-01 16:55:30,16:55:30,1015.0,16.0,55.0,11.91148,107.38259,67.8,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,HeVNtzaKT-z0vj4OCWn0y,2023-01-01 17:09:00,17:09:00,1029.0,17.0,9.0,11.8872,107.32123,27.03,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,sF2kIdqy3Z8r_waAn6Po_,2023-01-01 17:22:30,17:22:30,1042.0,17.0,22.0,11.83688,107.27339,55.5,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,EiLtsBQMLu3esmqeB2XKa,2023-01-01 17:36:00,17:36:00,1056.0,17.0,36.0,11.79438,107.19719,39.86,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,3EGk26lGP20mQZq3kH56O,2023-01-01 17:49:30,17:49:30,1069.0,17.0,49.0,11.73478,107.14746,68.31,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,j9eIqtzkB0qGN5mRjRPeo,2023-01-01 18:03:00,18:03:00,1083.0,18.0,3.0,11.69556,107.08901,30.9,3.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,wIEP4yEBoSSflIyhP0n9B,2023-01-01 18:16:30,18:16:30,1096.0,18.0,16.0,11.64351,107.04603,55.73,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,MEyGe-NWmT2KWrOshRl1j,2023-01-01 18:30:00,18:30:00,1110.0,18.0,30.0,11.6003,106.99513,31.29,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,fXsf6AqXvxYhHGIGyZkiZ,2023-01-01 18:43:30,18:43:30,1123.0,18.0,43.0,11.5492,106.92901,24.01,4.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,l4-eRQTie6GSUBmQ9WypA,2023-01-01 18:57:00,18:57:00,1137.0,18.0,57.0,11.48867,106.88478,26.19,3.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,p1CrdxenWvIXy8FIGU4lk,2023-01-01 19:10:30,19:10:30,1150.0,19.0,10.0,11.40074,106.83871,29.73,5.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,5cL80RrgKBDW1dRA1TTK9,2023-01-01 19:24:00,19:24:00,1164.0,19.0,24.0,11.32845,106.81931,61.88,5.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,kemR0qfqAcvpZ2DOF0qvn,2023-01-01 19:37:30,19:37:30,1177.0,19.0,37.0,11.26414,106.76964,43.4,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,9c6oZPoHFuWtZQFPWiecb,2023-01-01 19:51:00,19:51:00,1191.0,19.0,51.0,11.16775,106.73462,47.23,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,mr_TJ5HCUhzZhHa2OUhBf,2023-01-01 20:04:30,20:04:30,1204.0,20.0,4.0,11.06738,106.78279,46.4,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,RlYMLEHb7O_Ub8AEnmhIg,2023-01-01 20:18:00,20:18:00,1218.0,20.0,18.0,10.98992,106.77191,49.35,4.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,igmNnot56jk8T0RSKHZ44,2023-01-01 20:31:30,20:31:30,1231.0,20.0,31.0,10.93927,106.80689,20.89,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,6XBViI_s7yl4OTgLvxBhV,2023-01-01 20:45:00,20:45:00,1245.0,20.0,45.0,10.8618,106.91927,48.62,5.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,4bgHv_Pdd5c1EINM5kXCf,2023-01-01 20:58:30,20:58:30,1258.0,20.0,58.0,10.90104,106.85013,63.33,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,1wGrDoIjdobBvQcLvGnF8,2023-01-01 21:12:00,21:12:00,1272.0,21.0,12.0,10.77847,106.95701,61.84,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,AcxzAYoR3aD8bUJjHqNEw,2023-01-01 21:25:30,21:25:30,1285.0,21.0,25.0,10.69547,107.0148,27.26,5.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,z6a5ST1boQKvDSf-OyE0_,2023-01-01 21:39:00,21:39:00,1299.0,21.0,39.0,10.5968,107.05524,24.77,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,lxEO25RiTzeSkGVVHn5Sm,2023-01-01 21:52:30,21:52:30,1312.0,21.0,52.0,10.52441,107.08377,26.72,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,HxGjemaMVz5JERMAciRQ4,2023-01-01 22:06:00,22:06:00,1326.0,22.0,6.0,10.4891,107.15876,26.15,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,BcmN6R7CpgRdQ6X2ZJTg3,2023-01-01 22:19:30,22:19:30,1339.0,22.0,19.0,10.43143,107.15827,26.34,4.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,G9g8A4aB3IF4gGWO28QVd,2023-01-01 22:33:00,22:33:00,1353.0,22.0,33.0,10.39718,107.11183,44.41,4.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,False,False,V2MY3bW2JsWEuqq1XdIq_,2023-01-01 22:46:30,22:46:30,1366.0,22.0,46.0,10.3896,107.0845,0.0,5.6,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,0.0,0.0,0.0,0.0,False,False,5RFHasv9sYPh9uBjoXKdN,2023-01-02 14:00:00,14:00:00,840.0,14.0,0.0,12.67214,108.06884,0.0,5.5,200.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,0.0,0.0,0.0,0.0,False,False,Nid3DWjJQk5d1qySHVpk-,2023-01-02 14:13:30,14:13:30,853.0,14.0,13.0,12.65841,108.03907,60.74,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,0.0,0.0,0.0,0.0,False,False,wjdusm3uZ9cbaFB9k6-Tu,2023-01-02 14:27:00,14:27:00,867.0,14.0,27.0,12.61997,107.95092,28.68,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,0.0,0.0,0.0,0.0,False,False,EBj8oyvmkS6KHlkv1ZcFo,2023-01-02 14:40:30,14:40:30,880.0,14.0,40.0,12.58494,107.87112,51.65,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,0.0,0.0,0.0,0.0,False,False,KezfEXYUxWcVoafiQxxfK,2023-01-02 14:54:00,14:54:00,894.0,14.0,54.0,12.54409,107.79773,56.09,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,0.0,0.0,0.0,0.0,False,False,WNehXKLdpLdclNA3HLXGJ,2023-01-02 15:07:30,15:07:30,907.0,15.0,7.0,12.49071,107.72369,28.58,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,0.0,0.0,0.0,0.0,False,False,Tw0r8Yzk0GuBu4VOwcAnP,2023-01-02 15:21:00,15:21:00,921.0,15.0,21.0,12.44303,107.63683,45.63,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,0.0,0.0,0.0,0.0,False,False,c1Lcs1v4k2y5LBg4w4oIH,2023-01-02 15:34:30,15:34:30,934.0,15.0,34.0,12.35217,107.56946,52.31,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,0.0,0.0,0.0,0.0,False,False,TubvBep-UR5vOjTi7zRPi,2023-01-02 15:48:00,15:48:00,948.0,15.0,48.0,12.28166,107.45917,61.83,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,0.0,0.0,0.0,0.0,False,False,yIYQksM_IkCf3jPeRokNn,2023-01-02 16:01:30,16:01:30,961.0,16.0,1.0,12.20514,107.45171,34.85,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,0.0,0.0,0.0,0.0,False,False,8IH2BxWG7_cv9I7H9QlhG,2023-01-02 16:15:00,16:15:00,975.0,16.0,15.0,12.1149,107.47546,33.59,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,0.0,0.0,0.0,0.0,False,False,vbkCs4_-AhJ7H9Ja5pOYT,2023-01-02 16:28:30,16:28:30,988.0,16.0,28.0,12.02528,107.49632,26.05,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,0.0,0.0,0.0,0.0,False,False,l1qCICpUxh9yahs_ge7X6,2023-01-02 16:42:00,16:42:00,1002.0,16.0,42.0,11.94746,107.46003,61.74,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
